,name,category,project,guest,bedroom,bathroom,price,discounted,normal price,province,state,country
38,"Lovely&Modern 2Brs Apt w/ Park View,Free Pool&Gym",Service Apartment,None,6,2,2,49,1,61,Phú Nhuận,Hồ Chí Minh,Vietnam
39,"Căn hộ gần sông Hàn, có ban công, view phố, smarthome 22",Studio Apartment,None,2,1,1,17,0,Invalid,Ngũ Hành Sơn,Đà Nẵng,Vietnam
40,Big Home Dalat - Phòng đôi B1,Entire House,None,4,1,1,15,0,Invalid,Đà Lạt,Lâm Đồng,Vietnam
41,THE MOON APARTMENT   ,Condominium,None,4,1,1,26,0,Invalid,Vũng Tàu,Bà Rịa Vũng Tàu,Vietnam
42,Flame flowers homestay_Double View Garden ,Other,None,2,1,1,12,1,18,Hội An,Quảng Nam,Vietnam
43,Long 22 Vinhomes Metropolis Apartment #2BR LUXURY,None,None,5,2,2,63,0,Invalid,Ba Đình,Hà Nội,Vietnam
44,Nice seaview apartment Blue Saphire Resort,Condominium,None,6,2,2,65,0,Invalid,Vũng Tàu,Bà Rịa Vũng Tàu,Vietnam
45,Bespoke Villa Hoian - Deluxe Twin Room Garden view,Villa,None,2,1,1,19,0,Invalid,Hội An,Quảng Nam,Vietnam
46,"Stay&Fun No.4 - 60m2 studio with great view, 5 minutes walking to every famous city sights",Studio Apartment,None,5,1,1,26,1,43,Quận 1,Hồ Chí Minh,Vietnam
47,Spacious contemporary studio @ My khe beach,Service Apartment,None,3,1,1,15,1,17,Sơn Trà,Đà Nẵng,Vietnam
48,A Cosy Apartment in @Vinhomes Greenbay @1 bedroom Ha Noi,Studio Apartment,None,2,1,1,21,1,24,Nam Từ Liêm,Hà Nội,Vietnam
49,Orion Homestay - City View 2,Entire House,None,3,1,1,10,1,15,Đà Lạt,Lâm Đồng,Vietnam
50,WINDBELL VILLA / Garden view room 2,Villa,None,3,1,1,26,1,52,Hội An,Quảng Nam,Vietnam
51,"Nomad Home & Coffee - Phòng đôi Cam, WC riêng, ăn sáng",Entire House,None,2,1,1,9,1,15,Đà Lạt,Lâm Đồng,Vietnam
52,Felix's home,Other,None,3,1,4,20,0,Invalid,Sơn Trà,Đà Nẵng,Vietnam
53,SunSea Hotel&Villa,Villa,None,25,5,7,174,0,Invalid,Vũng Tàu,Bà Rịa Vũng Tàu,Vietnam
54,Maison De Lave | HOMESTAY | Jungle room-Han Brigde,Entire House,None,3,1,1,20,0,Invalid,Hải Châu,Đà Nẵng,Vietnam
55,CHIQUILLA BOUTIQUE HOUSE - BLANCO BUDGET CHARMING,Other,None,2,1,1,17,0,Invalid,Đà Lạt,Lâm Đồng,Vietnam
56,Pinky House 23 căn hộ đầy đủ tiện nghi gần Hồ Hoàng Cầu,Other,None,2,1,1,12,1,15,Đống Đa,Hà Nội,Vietnam
57,Ann Retreat Resort Hội An- Phòng Deluxe Sang Trọng View Phố Cổ,None,None,3,1,1,42,1,52,Hội An,Quảng Nam,Vietnam
58,✦ Luxury Villa 3BR ✦Thao Dien Dist 2✦Bathtub✦Big yard✦Sai Gon River View _[Sweethost],Villa,None,7,3,2,174,0,Invalid,Quận 2,Hồ Chí Minh,Vietnam
59,Dốc.apartment coffee,Service Apartment,None,6,1,1,14,1,17,Đà Lạt,Lâm Đồng,Vietnam
60,Spotless Studio located perfectly in center HCMC,Studio Apartment,None,2,1,1,18,1,20,Quận 1,Hồ Chí Minh,Vietnam
61,Deluxe Double Room/Queen Bed/Private Bathroom/Close to old town,Villa,None,3,1,1,13,1,15,Hội An,Quảng Nam,Vietnam
62,SensesHouse5b,Studio Apartment,None,3,1,1,27,0,Invalid,Hoàn Kiếm,Hà Nội,Vietnam
63,"Betania Home Danang Beach, 2-bedroom, 2 balconies (501)",Service Apartment,None,4,2,2,22,0,Invalid,Ngũ Hành Sơn,Đà Nẵng,Vietnam
64,Cozy and Quiet Studio near Tien Son Bridge ,Studio Apartment,Halla Jade Residences,2,1,1,133,1,242,Hải Châu,Đà Nẵng,Vietnam
65,Lamer Homestay - phòng gia đình sân vườn,Other,None,6,1,1,35,0,Invalid,Vũng Tàu,Bà Rịa Vũng Tàu,Vietnam
66,Mayli Homestay Đà Lạt - Phòng đôi 2 người City View - Khu biệt thự độc lập - 5p đến trung tâm,Other,None,3,1,1,17,0,Invalid,Đà Lạt,Lâm Đồng,Vietnam
67,Soleil Apartment- Deluxe Double View,Service Apartment,None,2,1,,33,1,37,Đống Đa,Hà Nội,Vietnam
68,Apartment for rent with 1bedroom in Phan Xich Long Street,Studio Apartment,None,2,1,1,21,0,Invalid,Phú Nhuận,Hồ Chí Minh,Vietnam
69,Betel Garden Villa,Villa,None,3,1,10,33,1,39,Hội An,Quảng Nam,Vietnam
70,Bespoke Villa Hoi An - A Home sweet home in Acient Town,Villa,None,2,1,1,20,0,Invalid,Hội An,Quảng Nam,Vietnam
71,Lam's Apartment (Superior 101),Service Apartment,None,2,1,1,17,0,Invalid,Đà Lạt,Lâm Đồng,Vietnam
72,Seasand Apartment Đà Nẵng,Service Apartment,None,3,1,1,17,1,24,Ngũ Hành Sơn,Đà Nẵng,Vietnam
73,Westlake-Central-Apartments,Service Apartment,None,2,1,1,22,1,24,Tây Hồ,Hà Nội,Vietnam
74,Super Romantic Couple Nest - Luxurious Brandnew 76m2 ,Condominium,Sunrise Cityview,2,1,1,68,1,113,Quận 7,Hồ Chí Minh,Vietnam
75,Hana House - Cabbage Room,Other,None,2,1,1,18,0,Invalid,Đà Lạt,Lâm Đồng,Vietnam
76,"À côté de rive homestay-Cozy home,quite space,rooftop for BBQ,near Ancient area",Other,None,2,1,1,13,1,15,Đống Đa,Hà Nội,Vietnam
77,1 King bed_Bathtub@Partial Sea View,Service Apartment,None,3,1,1,23,1,26,Ngũ Hành Sơn,Đà Nẵng,Vietnam
78,"[-20%] 1BR Amazing view, Clean room❤️Free Breakfast&Biclycle❤️Green Hill Villa Hoi An",Villa,None,2,1,1,17,0,Invalid,Hội An,Quảng Nam,Vietnam
79,"5BR, Fabulous villa for 10 people, Hoi An, Vietnam",Villa,None,10,5,5,109,0,Invalid,Hội An,Quảng Nam,Vietnam
80,Scandinavian room @ No.10 Homestay,Other,None,3,1,1,17,1,22,Đống Đa,Hà Nội,Vietnam
81,Staycious Dalat 2*Deluxe room*B.2.1*,Entire House,None,3,1,1,20,0,Invalid,Đà Lạt,Lâm Đồng,Vietnam
82,Vung Tau Milan Homestay 6 - Melody Queen Appartment,Condominium,Vũng Tàu Melody,12,2,2,25,1,28,Vũng Tàu,Bà Rịa Vũng Tàu,Vietnam
83,Yellow Lantern Room | Near the beach | Relaxed Area ,Entire House,None,3,1,1,23,1,26,Ngũ Hành Sơn,Đà Nẵng,Vietnam
84,HomeAway - Homestay Vung Tau,Condominium,None,6,2,1,28,0,Invalid,Vũng Tàu,Bà Rịa Vũng Tàu,Vietnam
85,Panorama Old Quarter view 2br + extra bed for 6pax,None,None,6,2,2,37,1,52,Hoàn Kiếm,Hà Nội,Vietnam
86,Triple Studio Room with attached Kichenette and Dining area/Family/Long-term Stay,Villa,None,4,1,1,22,1,25,Hội An,Quảng Nam,Vietnam
87,NEW! Yellow Submarine 3rd @500meters from the beach,Studio Apartment,None,2,1,1,31,0,Invalid,Sơn Trà,Đà Nẵng,Vietnam
88,Indochine Style Studio@Experience Locals Lifestyle,Condominium,None,3,1,1,54,0,Invalid,Quận 1,Hồ Chí Minh,Vietnam
89,An Khang 401 · ☀Bright Comfy Double ☀ Breakfast ☀ 2' to FUTA bus,Other,None,4,1,1,17,1,20,Đà Lạt,Lâm Đồng,Vietnam
90,"Style,Cozy,Nice House 3BR in super central",Entire House,None,10,3,3,35,0,Invalid,Thanh Khê,Đà Nẵng,Vietnam
91,Lula ★Vintage Studio★ Perfect Getaway | Saigon Central,Condominium,None,2,1,1,20,1,28,Quận 1,Hồ Chí Minh,Vietnam
92,Flame flowers homestay_Double with Balcony 01,Other,None,2,1,1,15,1,21,Hội An,Quảng Nam,Vietnam
93,CozyNook 2 Stunning Apartments in heart of Dalat,Studio Apartment,None,4,1,1,20,0,Invalid,Đà Lạt,Lâm Đồng,Vietnam
94,The Green Mango Villa,Villa,None,20,5,6,174,0,Invalid,Vũng Tàu,Bà Rịa Vũng Tàu,Vietnam
95,Villa Viet Home 1,Villa,None,30,6,6,148,1,174,Vũng Tàu,Bà Rịa Vũng Tàu,Vietnam
96,Westlake Lotus - Superior Double room,Studio Apartment,None,2,1,1,15,0,Invalid,Tây Hồ,Hà Nội,Vietnam
97,Family Room with Separate Rooms,Service Apartment,None,6,2,2,28,1,35,Hải Châu,Đà Nẵng,Vietnam
98,Lim Orange-tiny apartment-1 bedroom-Phu My Hung Urban,Service Apartment,Mỹ Quang,3,1,1,48,0,Invalid,Quận 7,Hồ Chí Minh,Vietnam
99,Sân Mây Homestay*beautiful view*outdoor bbq area,Villa,None,3,1,1,21,0,Invalid,Đà Lạt,Lâm Đồng,Vietnam
100,"Bungalow lãng mạn cho cặp đôi với vườn riêng, 3 phút ra biển An Bàng",Studio Apartment,None,3,1,1,30,0,Invalid,Hội An,Quảng Nam,Vietnam
101,"Spacious/cozy/comfy room, centre Hoan Kiem- R101",Entire House,None,2,1,1,15,1,20,Hoàn Kiếm,Hà Nội,Vietnam
102,"Pleasant home upto 7 people, Hoi An, Vietnam",Villa,None,7,3,3,83,0,Invalid,Hội An,Quảng Nam,Vietnam
103,LUCKY STUDIO APARTMENT (including Breakfast),Service Apartment,None,3,1,1,28,1,35,Hải Châu,Đà Nẵng,Vietnam
104,Amia Cosiana - Standard ,Entire House,None,3,1,1,13,1,22,Đà Lạt,Lâm Đồng,Vietnam
105,Universe Nguyen Kiem Apartment,Studio Apartment,None,2,1,1,11,0,Invalid,Phú Nhuận,Hồ Chí Minh,Vietnam
106,"VTX - Biệt thự hồ bơi Vũng Tàu view núi, Phòng Karaoke hiện đại",Villa,None,25,5,4,186,1,196,Vũng Tàu,Bà Rịa Vũng Tàu,Vietnam
107,"Luxury Duplex (2 tầng) 260m2 ** 3 br + extra bed for 10 pax. Free gửi xe ô tô, Lễ tân 24/7",Service Apartment,None,10,3,3,52,1,74,Hoàn Kiếm,Hà Nội,Vietnam
108,Tinghouse studio 5,Studio Apartment,None,4,1,1,22,0,Invalid,Đà Lạt,Lâm Đồng,Vietnam
109,Cozrum Homes - Beautifully Designed 1BR @BenThanh,Service Apartment,None,2,1,1,19,1,26,Quận 1,Hồ Chí Minh,Vietnam
110,Minh Hưng Apartment - Premier,Service Apartment,Halla Jade Residences,2,1,1,20,1,37,Hải Châu,Đà Nẵng,Vietnam
111,AN BANG SEA ADVENTURE HOMESTAY,Other,None,2,1,1,39,0,Invalid,Hội An,Quảng Nam,Vietnam
112,Litus - Villa Sân Vườn Nghỉ Dưỡng,Other,None,10,2,2,65,0,Invalid,Vũng Tàu,Bà Rịa Vũng Tàu,Vietnam
113,Studio - Vinhomes green Bay in Ha Noi,Condominium,None,3,1,1,30,0,Invalid,Nam Từ Liêm,Hà Nội,Vietnam
114,House No.54 - 54 Tô Hiến Thành - Ward 3,Service Apartment,None,4,1,1,22,0,Invalid,Đà Lạt,Lâm Đồng,Vietnam
115,The Bloom Serviced Apartment ❀ Deluxe Studio ❀ サービスアパート,Service Apartment,None,2,1,1,48,0,Invalid,Bình Thạnh,Hồ Chí Minh,Vietnam
116,SIT.homestay - No 01,Entire House,None,3,1,1,20,0,Invalid,Vũng Tàu,Bà Rịa Vũng Tàu,Vietnam
117,WINDBELL VILLA / Garden view room 1 - Cho Thuê 14 Ngày,Villa,None,3,1,1,23,1,52,Hội An,Quảng Nam,Vietnam
118,LUXURY ROOM  - Couple Only,None,None,2,1,1,39,0,Invalid,Hải Châu,Đà Nẵng,Vietnam
119,"BlaBla Orange 04 - Phòng giường đôi, sàn gỗ, bếp chung, 1km tới biển",Other,None,4,1,2,10,0,Invalid,Vũng Tàu,Bà Rịa Vũng Tàu,Vietnam
